BELÉM DE MARIA/ENT. GAMELEIRA;CONVENCIONAL;67km;R$:19,28 
BELÉM DE MARIA/PALMARES;CONVENCIONAL;36km;R$:10,36 
BELÉM DE MARIA/CATENDE;CONVENCIONAL;20km;R$:5,76 
CATENDE/RECIFE;CONVENCIONAL;148km;R$:42,59 
CATENDE/PONTE DOS CARVALHOS;CONVENCIONAL;131km;R$:37,70 
CATENDE/CABO;CONVENCIONAL;124km;R$:35,68 
CATENDE/MERÇÊS;CONVENCIONAL;108km;R$:31,08 
CATENDE/TIMBOASSU;CONVENCIONAL;93km;R$:26,76 
CATENDE/ESCADA;CONVENCIONAL;88km;R$:25,32 
CATENDE/ENT. PRIMAVERA;CONVENCIONAL;71km;R$:20,43 
CATENDE/ARIPIBU;CONVENCIONAL;63km;R$:18,13 
CATENDE/RIBEIRÃO;CONVENCIONAL;54km;R$:15,54 
CATENDE/ENT. GAMELEIRA;CONVENCIONAL;47km;R$:13,52 
CATENDE/PALMARES;CONVENCIONAL;16km;R$:4,60 
PALMARES/RECIFE;CONVENCIONAL;132km;R$:37,98 
PALMARES/PONTE DOS CARVALHOS;CONVENCIONAL;115km;R$:33,09 
PALMARES/CABO;CONVENCIONAL;108km;R$:31,08 
PALMARES/MERÇÊS;CONVENCIONAL;92km;R$:26,47 
PALMARES/TIMBOASSU;CONVENCIONAL;77km;R$:22,16 
PALMARES/ESCADA;CONVENCIONAL;72km;R$:20,72 
PALMARES/ENT. PRIMAVERA;CONVENCIONAL;55km;R$:15,83 
PALMARES/ARIPIBU;CONVENCIONAL;47km;R$:13,52 
PALMARES/RIBEIRÃO;CONVENCIONAL;38km;R$:10,93 
PALMARES/ENT. GAMELEIRA;CONVENCIONAL;31km;R$:8,92 
ENT. GAMELEIRA/RECIFE;CONVENCIONAL;101km;R$:29,06 
ENT. GAMELEIRA/PONTE DOS CARVALHOS;CONVENCIONAL;84km;R$:24,17 
ENT. GAMELEIRA/CABO;CONVENCIONAL;77km;R$:22,16 
ENT. GAMELEIRA/MERÇÊS;CONVENCIONAL;61km;R$:17,55 
ENT. GAMELEIRA/TIMBOASSU;CONVENCIONAL;46km;R$:13,24 
ENT. GAMELEIRA/ESCADA;CONVENCIONAL;41km;R$:11,80 
ENT. GAMELEIRA/ENT. PRIMAVERA;CONVENCIONAL;24km;R$:6,91 
ENT. GAMELEIRA/ARIPIBU;CONVENCIONAL;16km;R$:4,60 
ENT. GAMELEIRA/RIBEIRÃO;CONVENCIONAL;7km;R$:4,00 
RIBEIRÃO/RECIFE;CONVENCIONAL;94km;R$:27,05 
RIBEIRÃO/PONTE DOS CARVALHOS;CONVENCIONAL;77km;R$:22,16 
RIBEIRÃO/CABO;CONVENCIONAL;70km;R$:20,14 
RIBEIRÃO/MERÇÊS;CONVENCIONAL;54km;R$:15,54 
RIBEIRÃO/TIMBOASSU;CONVENCIONAL;39km;R$:11,22 
RIBEIRÃO/ESCADA;CONVENCIONAL;34km;R$:9,78 
RIBEIRÃO/ENT. PRIMAVERA;CONVENCIONAL;17km;R$:4,89 
ARIPIBU/RECIFE;CONVENCIONAL;85km;R$:24,46 
ARIPIBU/PONTE DOS CARVALHOS;CONVENCIONAL;68km;R$:19,57 
ARIPIBU/CABO;CONVENCIONAL;61km;R$:17,55 
ARIPIBU/MERÇÊS;CONVENCIONAL;45km;R$:12,95 
ARIPIBU/TIMBOASSU;CONVENCIONAL;30km;R$:8,63 
ARIPIBU/ESCADA;CONVENCIONAL;25km;R$:7,19 
ENT. PRIMAVERA/RECIFE;CONVENCIONAL;77km;R$:22,16 
ENT. PRIMAVERA/PONTE DOS CARVALHOS;CONVENCIONAL;60km;R$:17,27 
ENT. PRIMAVERA/CABO;CONVENCIONAL;53km;R$:15,25 
ENT. PRIMAVERA/MERÇÊS;CONVENCIONAL;37km;R$:10,65 
ENT. PRIMAVERA/TIMBOASSU;CONVENCIONAL;22km;R$:6,33 
ENT. PRIMAVERA/ESCADA;CONVENCIONAL;17km;R$:4,89 
ESCADA/RECIFE;CONVENCIONAL;60km;R$:17,27 
ESCADA/PONTE DOS CARVALHOS;CONVENCIONAL;43km;R$:12,37 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
ESCADA/TIMBOASSU;CONVENCIONAL;5km;R$:4,00 
TIMBOASSU/RECIFE;CONVENCIONAL;55km;R$:15,83 
TIMBOASSU/PONTE DOS CARVALHOS;CONVENCIONAL;38km;R$:10,93 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
RIBEIRÃO/TAMANDARÉ;CONVENCIONAL;70km;R$:20,14 2022.1.804.01307
RIBEIRÃO/RIO FORMOSO;CONVENCIONAL;48km;R$:13,81 
RIBEIRÃO/USINA CUCAU;CONVENCIONAL;32km;R$:9,21 
RIBEIRÃO/ANTAS;CONVENCIONAL;23km;R$:6,62 
RIBEIRÃO/GAMELEIRA;CONVENCIONAL;14km;R$:4,00 
GAMELEIRA/TAMANDARÉ;CONVENCIONAL;56km;R$:16,11 
GAMELEIRA/RIO FORMOSO;CONVENCIONAL;34km;R$:9,78 
GAMELEIRA/USINA CUCAU;CONVENCIONAL;18km;R$:5,18 
GAMELEIRA/ANTAS;CONVENCIONAL;9km;R$:4,00 
ANTAS/TAMANDARÉ;CONVENCIONAL;47km;R$:13,52 
ANTAS/RIO FORMOSO;CONVENCIONAL;25km;R$:7,19 
ANTAS/USINA CUCAU;CONVENCIONAL;9km;R$:4,00 
USINA CUCAU/TAMANDARÉ;CONVENCIONAL;38km;R$:10,93 
USINA CUCAU/RIO FORMOSO;CONVENCIONAL;16km;R$:4,60 
RIO FORMOSO/TAMANDARÉ;CONVENCIONAL;22km;R$:6,33 
RECIFE/BONITO;CONVENCIONAL;127km;R$:36,55 2022.1.804.11013
RECIFE/CAMOCIM;CONVENCIONAL;111km;R$:31,94 
RECIFE/SAIRÉ;CONVENCIONAL;113km;R$:32,52 
RECIFE/BEZERROS;CONVENCIONAL;96km;R$:27,63 
RECIFE/INSURREIÇÃO;CONVENCIONAL;90km;R$:25,90 
RECIFE/GRAVATÁ;CONVENCIONAL;76km;R$:21,87 
RECIFE/ENT. CHÃ GRANDE;CONVENCIONAL;64km;R$:18,42 
RECIFE/POMBOS;CONVENCIONAL;51km;R$:14,68 
RECIFE/VITÓRIA DE SANTO ANTÃO;CONVENCIONAL;43km;R$:12,37 
VITÓRIA DE SANTO ANTÃO/BONITO;CONVENCIONAL;84km;R$:24,17 
VITÓRIA DE SANTO ANTÃO/CAMOCIM;CONVENCIONAL;68km;R$:19,57 
VITÓRIA DE SANTO ANTÃO/SAIRÉ;CONVENCIONAL;70km;R$:20,14 
VITÓRIA DE SANTO ANTÃO/BEZERROS;CONVENCIONAL;53km;R$:15,25 
VITÓRIA DE SANTO ANTÃO/INSURREIÇÃO;CONVENCIONAL;47km;R$:13,52 
VITÓRIA DE SANTO ANTÃO/GRAVATÁ;CONVENCIONAL;33km;R$:9,50 
VITÓRIA DE SANTO ANTÃO/ENT. CHÃ GRANDE;CONVENCIONAL;21km;R$:6,04 
VITÓRIA DE SANTO ANTÃO/POMBOS;CONVENCIONAL;8km;R$:4,00 
POMBOS/BONITO;CONVENCIONAL;76km;R$:21,87 
POMBOS/CAMOCIM;CONVENCIONAL;60km;R$:17,27 
POMBOS/SAIRÉ;CONVENCIONAL;62km;R$:17,84 
POMBOS/BEZERROS;CONVENCIONAL;45km;R$:12,95 
POMBOS/INSURREIÇÃO;CONVENCIONAL;39km;R$:11,22 
POMBOS/GRAVATÁ;CONVENCIONAL;25km;R$:7,19 
POMBOS/ENT. CHÃ GRANDE;CONVENCIONAL;13km;R$:4,00 
ENT. CHÃ GRANDE/BONITO;CONVENCIONAL;63km;R$:18,13 
ENT. CHÃ GRANDE/CAMOCIM;CONVENCIONAL;47km;R$:13,52 
ENT. CHÃ GRANDE/SAIRÉ;CONVENCIONAL;49km;R$:14,10 
ENT. CHÃ GRANDE/BEZERROS;CONVENCIONAL;32km;R$:9,21 
ENT. CHÃ GRANDE/INSURREIÇÃO;CONVENCIONAL;26km;R$:7,48 
ENT. CHÃ GRANDE/GRAVATÁ;CONVENCIONAL;12km;R$:4,00 
GRAVATÁ/BONITO;CONVENCIONAL;51km;R$:14,68 
GRAVATÁ/CAMOCIM;CONVENCIONAL;35km;R$:10,07 
GRAVATÁ/SAIRÉ;CONVENCIONAL;37km;R$:10,65 
GRAVATÁ/BEZERROS;CONVENCIONAL;20km;R$:5,76 
GRAVATÁ/INSURREIÇÃO;CONVENCIONAL;14km;R$:4,00 
INSURREIÇÃO/BONITO;CONVENCIONAL;37km;R$:10,65 
INSURREIÇÃO/CAMOCIM;CONVENCIONAL;21km;R$:6,04 
INSURREIÇÃO/SAIRÉ;CONVENCIONAL;23km;R$:6,62 
INSURREIÇÃO/BEZERROS;CONVENCIONAL;6km;R$:4,00 
BEZERROS/BONITO;CONVENCIONAL;31km;R$:8,92 
BEZERROS/CAMOCIM;CONVENCIONAL;15km;R$:4,32 
BEZERROS/SAIRÉ;CONVENCIONAL;17km;R$:4,89 
SAIRÉ/BONITO;CONVENCIONAL;14km;R$:4,00 
CAMOCIM/BONITO;CONVENCIONAL;16km;R$:4,60 
BONITO/CARUARU;CONVENCIONAL;58km;R$:16,69 2022.1.804.11014
BONITO/TERRA VERMELHA;CONVENCIONAL;47km;R$:13,52 
BONITO/AGRESTINA;CONVENCIONAL;36km;R$:10,36 
BONITO/BARRA DO CHATA;CONVENCIONAL;30km;R$:8,63 
BONITO/ALTO BONITO;CONVENCIONAL;15km;R$:4,32 
ALTO BONITO/CARUARU;CONVENCIONAL;43km;R$:12,37 
ALTO BONITO/TERRA VERMELHA;CONVENCIONAL;32km;R$:9,21 
